,userid,age,gender,ope,con,ext,agr,neu
0,7267f43c71fcf53f4580fd3cd808bd48,26.0,0.0,4.0,2.25,2.2,3.6,2.8
1,e1cdac10d136e76e064e4860007d786d,24.0,0.0,4.2,3.35,2.45,3.9,2.6
2,ea4b8b534a35f59713f61f29b8725d09,27.0,1.0,2.75,4.8,3.15,3.85,4.15
3,c7bb07b4b9ccd28cd0bc285194da5c72,29.0,1.0,3.4,3.2,2.1,3.7,2.35
4,e8b8f7f4f40ea6babfa9a2a967ff1866,25.0,0.0,4.4,3.25,4.0,2.89,2.35
5,8974aab97d9fc4e3a53ba126b5eedd81,30.0,1.0,4.05,2.7,3.2,3.25,2.9
6,f7456ac4e6b20911c40fdad18908a8d2,30.0,1.0,3.8,4.35,4.25,4.45,1.55
7,a54988e326d76a28f52a4b82d0efcd5d,27.0,0.0,3.8,3.65,2.2,3.5,2.3
8,2bf095b7a0ea63aa042e376d7ded0f55,23.0,1.0,3.95,2.6,2.0,2.75,3.35
9,b27052d72d8d2d7c5d381878130b5481,23.0,1.0,4.1,2.2,2.8,2.5,3.8
10,25c68399f38b70d0466ae022feb4fe6a,26.0,1.0,4.4,2.1,2.85,3.55,4.2
11,849cd35a3dfc7200b683b67d0167598f,19.0,0.0,2.85,1.45,2.35,3.4,3.05
12,a4a6525085ec9c8c72d5f2fc7eee7f6c,27.0,1.0,4.65,3.25,3.0,4.0,2.05
13,c6714bdeee67810cd9131e55596cf34f,20.0,0.0,4.45,4.4,4.75,4.65,1.1
14,054e5fd22c26a92926a61c261c99054c,26.0,0.0,3.25,2.3,2.85,2.9,3.6
15,fdd59fbb907c5eb218de8b77cd0570c9,25.0,1.0,4.7,4.55,4.85,4.15,1.25
16,1ab4754657079071f9831fe42b3eac49,25.0,0.0,4.7,3.8,3.75,3.4,1.95
17,4ed94eb931ae96f6d9fe5e0d34f01c4d,22.0,1.0,2.9,2.45,2.25,3.7,3.55
18,65266a09dc3d274bed54447cf4565392,23.0,0.0,4.0,3.45,2.9,3.45,2.65
19,1c10cc0852579d2fa000e3fc3327bb98,34.0,0.0,3.5,2.2,2.6,2.1,2.65
20,98402a19f626c91d1795df7446906795,30.0,1.0,4.7,3.1,4.4,3.9,1.9
21,439f3d6687e9826c9f511eb794b7f17a,17.0,1.0,4.65,3.45,3.2,4.55,2.3
22,64463aa93c9145fa0724a9e89ea7be2a,29.0,1.0,4.95,4.5,3.45,4.85,1.05
23,8874f48da4401eee4a87d635c3685aff,53.0,1.0,3.6,3.9,3.0,4.05,2.8
24,d177a27cdcf11df2e6e09de9620e9c5e,19.0,0.0,4.0,2.95,3.05,3.95,2.2
25,009d96a823b6f6c085c092fb177491f6,25.0,1.0,4.75,1.9,3.6,3.25,2.6
26,8da2d8c46591e28d575d5cc983ada549,47.0,0.0,3.85,2.95,2.2,3.4,3.55
27,561398fccf4432b41202991b3d39623d,40.0,1.0,3.8,4.35,3.7,4.55,2.65
28,67f1bddbdb60c7f4a82c9ae9e88d4e28,27.0,0.0,4.5,2.89,2.21,2.58,3.2
29,0e3fdb89c7706b13891170ab2a9017c7,40.0,1.0,4.8,3.15,2.85,4.5,1.85
30,3d7847b1c33b5f5811208b4aa1a7ffbd,21.0,1.0,4.25,2.2,3.15,3.4,3.6
31,172400f46880b309ca5e97d322bb8f01,22.0,0.0,4.15,2.7,3.45,2.8,2.85
32,33e1c2ac25051eda8cc69d1379f584eb,27.0,1.0,4.8,3.9,4.0,4.35,1.5
33,8f9d925731a02387afa0c30173623988,21.0,0.0,4.75,3.35,3.45,3.3,2.7
34,0ce8d05bd9038636ebb68e722688a108,23.0,0.0,3.0,3.55,2.3,2.95,2.55
35,2f068bfe36222d929b9e80e851f090a2,25.0,0.0,4.05,2.75,2.2,2.7,3.9
36,751e53fc64b770f7b5ea2b0964678599,20.0,1.0,3.95,3.05,1.5,4.15,3.8
37,cef8086fc8220dde9874948728787a2c,19.0,0.0,3.47,3.25,3.4,3.75,2.2
38,8b8f7811ae182a9cb46e1b9a51553c97,20.0,0.0,3.8,4.3,4.15,3.95,1.85
39,8a1c6e4eb35abbf1ae252628fca46cdb,31.0,0.0,4.35,1.6,1.6,2.7,3.45
40,97d694df56a84b8f9449d7ee174f3ee5,19.0,0.0,3.75,2.85,1.45,2.4,3.7
41,cea00424ced413c108d878b1a14f3316,21.0,1.0,3.95,4.25,2.35,3.85,2.55
42,a4077eb9ef9cb79a7c134ddab6042c68,25.0,1.0,4.95,3.75,4.2,3.85,1.65
43,da35a9d939d9049be367b87b078633ec,27.0,0.0,4.45,3.35,3.55,3.8,1.7
44,c628684d50d3eec9e0d6692abc72017f,21.0,0.0,3.5,3.05,2.9,3.6,1.75
