userId,WC,WPS,Sixltr,Dic,Numerals,funct,pronoun,ppron,i,we,you,shehe,they,ipron,article,verb,auxverb,past,present,future,adverb,preps,conj,negate,quant,number,swear,social,family,friend,humans,affect,posemo,negemo,anx,anger,sad,cogmech,insight,cause,discrep,tentat,certain,inhib,incl,excl,percept,see,hear,feel,bio,body,health,sexual,ingest,relativ,motion,space,time,work,achieve,leisure,home,money,relig,death,assent,nonfl,filler,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP,AllPct
1c1bb692d7765344d418c0247962e7f8,156,17.33,25,76.92,1.92,45.51,9.62,6.41,3.21,1.28,0,1.28,0.64,3.21,8.97,10.9,6.41,1.92,7.05,0.64,4.49,10.9,4.49,1.28,1.28,0.64,0.64,8.33,0,0,1.92,5.13,1.92,3.21,1.28,0.64,0.64,16.03,2.56,3.85,1.28,2.56,0,0,4.49,2.56,3.85,1.92,0.64,1.28,1.28,1.28,0,0,0,7.69,0.64,3.21,3.85,4.49,0.64,1.28,0,0.64,0,0,0.64,0,0,38.46,8.33,1.92,0,5.77,5.77,2.56,0,2.56,0.64,5.13,70.51
2eba17f4ec950f23af8d31a1d1db4518,176,11,21.02,84.66,0,53.41,15.34,12.5,7.39,0,3.41,0,1.7,2.84,5.11,13.07,9.09,3.98,7.39,0.57,4.55,11.93,3.98,2.84,1.7,1.14,0,9.09,0.57,0.57,0.57,8.52,6.82,1.7,1.14,0,0.57,14.77,2.27,2.27,0,0.57,3.98,0,4.55,1.14,2.27,1.14,1.14,0,1.7,0,1.14,0,0.57,17.05,3.41,4.55,8.52,1.14,1.7,0.57,1.14,0.57,1.14,0,0.57,0,0,12.5,9.66,0.57,0,0,13.07,0,0,2.27,0.28,1.14,39.77
4f3fc35de4f026bbe96d6aead80a011c,179,17.9,17.88,90.5,0,54.19,11.73,7.82,6.15,0,1.12,0.56,0,3.91,8.38,18.99,12.29,4.47,11.17,1.68,5.03,11.17,6.7,2.79,2.79,0.56,0,6.15,0,0.56,0,7.26,4.47,2.79,0.56,1.12,0.56,15.08,1.68,1.68,3.35,3.35,1.68,0,3.35,3.35,5.03,2.79,1.12,1.12,1.68,0.56,0,0,1.12,18.99,3.91,6.7,7.82,1.68,0.56,3.35,1.68,0.56,0,0,0,0,0,19.55,12.85,0,0.56,0.56,1.68,1.12,0,5.59,0.28,0,41.9
5b670721d060e5063273aefefd0e0731,179,179,20.67,77.09,0,51.4,12.29,9.5,4.47,0,4.47,0,0.56,2.79,8.38,10.06,4.47,1.12,6.15,1.68,1.68,15.08,6.15,1.12,2.79,1.68,0,7.26,0.56,0,0.56,2.79,0,2.79,0,0.56,1.12,16.2,3.35,0,3.35,5.03,1.68,0,5.03,3.35,6.15,2.79,3.35,0,1.68,1.68,0,0,0,11.73,1.12,7.26,3.35,0,0.56,0.56,0,0,1.12,0.56,0,0,0,25.7,4.47,0,0,1.68,0,1.12,0,2.23,0,0,34.64
5ca01e48cdf661e932cfe58588360a7f,18,18,44.44,55.56,0,27.78,0,0,0,0,0,0,0,0,0,5.56,0,0,5.56,0,0,16.67,0,0,11.11,0,0,11.11,0,0,0,0,0,0,0,0,0,16.67,0,0,5.56,0,11.11,0,0,0,0,0,0,0,0,0,0,0,0,5.56,0,0,5.56,5.56,5.56,0,0,0,0,0,0,0,0,333.33,55.56,22.22,0,3661.11,0,0,11.11,0,5.56,16.67,4111.11
7b561be60d859de59fec1929522643a8,164,18.22,23.78,73.17,0.61,40.85,12.8,10.37,9.76,0,0,0.61,0,2.44,6.1,15.85,9.15,4.27,10.98,0,4.88,8.54,2.44,2.44,1.83,0,3.05,3.66,0,0,1.83,10.37,3.66,6.71,0.61,4.88,0,3.66,0,1.83,0.61,0.61,1.22,0,0,0,1.83,0.61,0,0.61,4.88,3.05,0.61,1.83,0,15.24,3.05,4.27,7.93,0.61,0,2.44,0,0,0,0.61,0.61,1.83,0,9.15,26.22,8.54,0,0.61,13.41,0.61,0,1.22,1.52,1.83,64.63
7eaa36752bccce478ab5ee651fcc4d68,125,20.83,29.6,71.2,1.6,38.4,13.6,11.2,7.2,3.2,0,0.8,0,2.4,4,15.2,4.8,3.2,11.2,0.8,2.4,12.8,3.2,0.8,0.8,0,0.8,9.6,2.4,0,0,4.8,2.4,2.4,0,0.8,0,7.2,0.8,1.6,1.6,0.8,0,0,1.6,1.6,1.6,1.6,0,0,0.8,0.8,0,0,0,12.8,5.6,3.2,4,3.2,3.2,4.8,0.8,0,0,0,0,0,0,11.2,8,2.4,0,0,15.2,1.6,0,24,0.8,33.6,97.6
8bbb62b38592bcbf869e384f66d64383,155,10.33,20.65,41.29,1.29,25.16,5.81,4.52,3.87,0,0,0.65,0,1.29,4.52,5.16,2.58,0.65,4.52,0,3.23,5.16,3.23,0,1.29,0.65,0,3.23,0.65,0,0,3.87,1.94,1.94,0,1.29,0,7.1,1.29,0,0,0.65,1.94,0,1.94,1.29,0.65,0.65,0,0,1.29,0,0.65,1.29,0,5.16,0,0.65,3.87,1.29,0,1.29,0,0.65,0.65,0,0,0,0,32.26,12.26,0.65,2.58,4.52,3.23,1.94,1.94,1.94,0.97,19.35,81.94
23bb3332905ec10bf36b0e463a38bd5e,186,186,18.82,69.35,1.08,38.17,12.37,9.68,7.53,0,1.08,0.54,0.54,2.69,4.3,9.68,6.45,3.23,3.76,2.69,2.15,6.45,5.38,2.15,1.61,0,1.08,2.69,0,0,0,6.45,2.15,4.3,0.54,1.61,1.08,10.22,0,0.54,2.69,3.23,0,0.54,3.23,2.69,0.54,0,0,0.54,3.76,1.08,2.15,0,0.54,16.67,0.54,6.45,10.22,3.76,4.3,1.08,0,0.54,0.54,0,1.61,0,0.54,0,15.59,0.54,0.54,1.08,5.38,0,0,0,0.54,1.08,25.27
35e30200663adc2848fce13563497eed,168,21,20.24,74.4,0,48.81,14.29,9.52,4.17,0,3.57,1.19,0.6,4.76,7.14,15.48,10.71,0,11.9,1.19,3.57,9.52,3.57,1.19,1.19,0.6,0,11.31,0,0.6,3.57,4.76,2.38,2.38,0.6,0,0.6,13.1,2.98,2.38,2.38,1.19,1.19,0,1.79,2.38,3.57,0.6,1.19,1.79,2.38,1.79,0.6,0,0,4.17,0,2.38,1.19,0.6,0.6,0,0,0.6,0,0.6,0,0,2.38,11.9,13.69,2.38,0,9.52,24.4,0,0,0.6,0.3,2.98,66.07
80a59cefb87607b116d8252cc4f1b802,171,19,20.47,90.06,0.58,60.23,19.3,12.28,9.36,0.58,0,1.75,0.58,7.02,4.68,19.3,11.7,1.75,13.45,2.92,6.43,7.02,8.77,2.34,4.09,1.17,0,8.19,0,0,1.17,8.19,6.43,1.75,0.58,0,0,22.22,3.51,2.92,5.85,5.85,1.75,0.58,2.92,3.51,0,0,0,0,2.92,0.58,2.34,0,0,9.36,0,1.75,7.6,2.34,2.34,0.58,0,0,0.58,0,0,0,0,21.64,7.6,1.17,0,0,5.26,0,0,1.17,0.58,4.09,42.11
739c217bf88c96c5149349fafab0eb1c,178,25.43,19.66,75.28,2.25,46.63,8.99,5.06,3.93,0,1.12,0,0,3.93,6.74,11.24,5.62,2.25,7.3,1.12,7.3,16.29,5.06,0.56,1.69,0,0,3.93,0,0,0,2.25,2.25,0,0,0,0,11.8,1.12,1.12,1.69,2.25,0.56,0,3.93,1.69,0,0,0,0,2.25,0,0,0,2.25,21.91,4.49,6.18,11.8,3.93,1.12,3.37,0.56,1.12,0,0,1.69,0.56,0.56,3.37,9.55,0,0,0.56,19.66,0,0,4.49,0,0,37.64
